id,kode_provinsi,nama_provinsi,daerah,jumlah_angkatan_kerja,satuan,tahun
1,32,JAWA BARAT,PERKOTAAN,12690450,ORANG,2011
2,32,JAWA BARAT,PERDESAAN,6666174,ORANG,2011
3,32,JAWA BARAT,PERKOTAAN,12963286,ORANG,2012
4,32,JAWA BARAT,PERDESAAN,7186808,ORANG,2012
5,32,JAWA BARAT,PERKOTAAN,13548356,ORANG,2013
6,32,JAWA BARAT,PERDESAAN,7072254,ORANG,2013
7,32,JAWA BARAT,PERKOTAAN,13880482,ORANG,2014
8,32,JAWA BARAT,PERDESAAN,7125657,ORANG,2014
9,32,JAWA BARAT,PERKOTAAN,14967377,ORANG,2015
10,32,JAWA BARAT,PERDESAAN,5618979,ORANG,2015
11,32,JAWA BARAT,PERKOTAAN,15311589,ORANG,2016
12,32,JAWA BARAT,PERDESAAN,5764310,ORANG,2016
13,32,JAWA BARAT,PERKOTAAN,16657317,ORANG,2017
14,32,JAWA BARAT,PERDESAAN,5733686,ORANG,2017
15,32,JAWA BARAT,PERKOTAAN,17052659,ORANG,2018
16,32,JAWA BARAT,PERDESAAN,5575463,ORANG,2018
17,32,JAWA BARAT,PERKOTAAN,18202835,ORANG,2019
18,32,JAWA BARAT,PERDESAAN,5601621,ORANG,2019
19,32,JAWA BARAT,PERKOTAAN,18549069,ORANG,2020
20,32,JAWA BARAT,PERDESAAN,5658861,ORANG,2020
21,32,JAWA BARAT,PERKOTAAN,19244458,ORANG,2021
22,32,JAWA BARAT,PERDESAAN,5499170,ORANG,2021
23,32,JAWA BARAT,PERKOTAAN,19915512,ORANG,2022
24,32,JAWA BARAT,PERDESAAN,5662662,ORANG,2022
25,32,JAWA BARAT,PERKOTAAN,19982171,ORANG,2023
26,32,JAWA BARAT,PERDESAAN,5409714,ORANG,2023
